Role,RoleCMDLet,Parameters
"Active Directory Permissions","Get-SecurityPrincipal","Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IncludeDomainLocalFrom;OrganizationalUnit;OutBuffer;OutVariable;ResultSize;RoleGroupAssignable;Types;Verbose;WarningAction;WarningVariable"
"Active Directory Permissions","Get-RoleGroup","Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;ShowPartnerLinked;SortBy;Verbose;WarningAction;WarningVariable"
"Active Directory Permissions","Get-Group","Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable"
"Active Directory Permissions","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Active Directory Permissions","Get-ADPermission","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Owner;User;Verbose;WarningAction;WarningVariable"
"Active Directory Permissions","Add-ADPermission","AccessRights;ChildObjectTypes;Confirm;Debug;Deny;DomainController;ErrorAction;ErrorVariable;ExtendedRights;Identity;InheritanceType;InheritedObjectType;Instance;OutBuffer;OutVariable;Owner;Properties;User;Verbose;WarningAction;WarningVariable;WhatIf"
"DataCenter Operations","Remove-ExchangeSettings","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"DataCenter Operations","Set-Mailbox","AuditStorageEndTimeUTC;AuditStorageStartTimeUTC;AuditStorageState"
"DataCenter Operations","Set-SettingOverride","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;MaxVersion;MinVersion;OutBuffer;OutVariable;Parameters;Reason;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"DataCenter Operations","Get-ExchangeSettings","Organization"
"DataCenter Operations","Remove-SettingOverride","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"DataCenter Operations","New-SettingOverride","Component;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;MaxVersion;MinVersion;Name;OutBuffer;OutVariable;Parameters;Reason;Section;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"DataCenter Operations","Get-SettingOverride","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Database Copies","Get-MailboxServerRedundancy","DatabaseAvailabilityGroup;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ServerToContact;TimeoutInSeconds;Verbose;WarningAction;WarningVariable"
"Database Copies","Update-MailboxDatabaseCopy","BeginSeed;CancelSeed;CatalogOnly;Confirm;DatabaseOnly;Debug;DeleteExistingFiles;DomainController;ErrorAction;ErrorVariable;Force;Identity;ManualResume;MaximumSeedsInParallel;Network;NetworkCompressionOverride;NetworkEncryptionOverride;NoThrottle;OutBuffer;OutVariable;PrimaryDatabasePartitionOnly;SafeDeleteExistingFiles;SourceServer;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Set-MailboxDatabaseCopy","ActivationPreference;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReplayLagMaxDelay;ReplayLagTime;TruncationLagTime;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Add-MailboxDatabaseCopy","ActivationPreference;ConfigurationOnly;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MailboxServer;OutBuffer;OutVariable;ReplayLagMaxDelay;ReplayLagTime;SeedingPostponed;TruncationLagTime;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Suspend-MailboxDatabaseCopy","ActivationOnly;Confirm;Debug;DomainController;EnableReplayLag;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SuspendComment;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Remove-HybridConfiguration","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Update-HybridConfiguration","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ForceUpgrade;OnPremisesCredentials;OutBuffer;OutVariable;SuppressOAuthWarning;TenantCredentials;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Get-MailboxDatabaseCopyStatus","Active;ConnectionStatus;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedErrorInfo;Identity;Local;OutBuffer;OutVariable;Server;UseServerCache;Verbose;WarningAction;WarningVariable"
"Database Copies","Get-ExchangeServerAccessLicenseUser","Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Database Copies","Get-ExchangeServerAccessLicense","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Database Copies","Resume-MailboxDatabaseCopy","Confirm;Debug;DisableReplayLag;DisableReplayLagReason;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReplicationOnly;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Write-AdminAuditLog","Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Remove-UMMailboxPolicy","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Remove-MailboxDatabaseCopy","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Database Copies","Get-MailboxServer","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Database Copies","Get-ExchangeServer","Debug;Domain;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"Database Copies","Get-DomainController","Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"Exchange Virtual Directories","Set-RestVirtualDirectory","ApplyDefaults;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;Identity;InternalUrl;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","New-MailboxDeliveryVirtualDirectory","ApplicationRoot;AppPoolId;BasicAuthentication;Confirm;Debug;DigestAuthentication;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;OAuthAuthentication;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf;WindowsAuthentication"
"Exchange Virtual Directories","Get-OutlookServiceVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"Exchange Virtual Directories","Remove-ComplianceServiceVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","Set-OwaVirtualDirectory","ActionForUnknownFileAndMIMETypes;ActiveSyncIntegrationEnabled;AdfsAuthentication;AllAddressListsEnabled;AllowCopyContactsToDeviceAddressBook;AllowedFileTypes;AllowedMimeTypes;AllowOfflineOn;AnonymousFeaturesEnabled;BasicAuthentication;BlockedFileTypes;BlockedMimeTypes;BoxAttachmentsEnabled;CalendarEnabled;CalendarPublishingEnabled;ChangePasswordEnabled;ClassicAttachmentsEnabled;ClientAuthCleanupLevel;Confirm;ContactsEnabled;CrossSiteRedirectType;Debug;DefaultClientLanguage;DefaultDomain;DefaultTheme;DelegateAccessEnabled;DigestAuthentication;DirectFileAccessOnPrivateComputersEnabled;DirectFileAccessOnPublicComputersEnabled;DisplayPhotosEnabled;DomainController;DropboxAttachmentsEnabled;ErrorAction;ErrorVariable;Exchange2003Url;ExchwebProxyDestination;ExplicitLogonEnabled;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalAuthenticationMethods;ExternalDownloadHostName;ExternalSPMySiteHostURL;ExternalUrl;FailbackUrl;FilterWebBeaconsAndHtmlForms;ForceSaveAttachmentFilteringEnabled;ForceSaveFileTypes;ForceSaveMimeTypes;ForceWacViewingFirstOnPrivateComputers;ForceWacViewingFirstOnPublicComputers;ForceWebReadyDocumentViewingFirstOnPrivateComputers;ForceWebReadyDocumentViewingFirstOnPublicComputers;FormsAuthentication;FreCardsEnabled;GlobalAddressListEnabled;GoogleDriveAttachmentsEnabled;GzipLevel;Identity;InstantMessagingCertificateThumbprint;InstantMessagingEnabled;InstantMessagingServerName;InstantMessagingType;IntegratedFeaturesEnabled;InternalDownloadHostName;InternalSPMySiteHostURL;InternalUrl;IRMEnabled;IsPublic;JournalEnabled;JunkEmailEnabled;LegacyRedirectType;LogonAndErrorLanguage;LogonFormat;LogonPageLightSelectionEnabled;LogonPagePublicPrivateSelectionEnabled;NotesEnabled;NotificationInterval;OAuthAuthentication;OneDriveAttachmentsEnabled;OrganizationEnabled;OutboundCharset;OutBuffer;OutVariable;OWALightEnabled;OWAMiniEnabled;PremiumClientEnabled;PublicFoldersEnabled;RecoverDeletedItemsEnabled;RedirectToOptimalOWAServer;ReferenceAttachmentsEnabled;RemindersAndNotificationsEnabled;RemoteDocumentsActionForUnknownServers;RemoteDocumentsAllowedServers;RemoteDocumentsBlockedServers;RemoteDocumentsInternalDomainSuffixList;ReportJunkEmailEnabled;RulesEnabled;SaveAttachmentsToCloudEnabled;SearchFoldersEnabled;SetPhotoEnabled;SetPhotoURL;SignaturesEnabled;SilverlightEnabled;SMimeEnabled;SpellCheckerEnabled;TasksEnabled;TextMessagingEnabled;ThemeSelectionEnabled;UMIntegrationEnabled;UNCAccessOnPrivateComputersEnabled;UNCAccessOnPublicComputersEnabled;UseGB18030;UseISO885915;UserContextTimeout;Verbose;VirtualDirectoryType;WacEditingEnabled;WacViewingOnPrivateComputersEnabled;WacViewingOnPublicComputersEnabled;WarningAction;WarningVariable;WebPartsFrameOptionsType;WebReadyDocumentViewingForAllSupportedTypes;WebReadyDocumentViewingOnPrivateComputersEnabled;WebReadyDocumentViewingOnPublicComputersEnabled;WebReadyDocumentViewingSupportedFileTypes;WebReadyDocumentViewingSupportedMimeTypes;WebReadyFileTypes;WebReadyMimeTypes;WhatIf;WindowsAuthentication;WSSAccessOnPrivateComputersEnabled;WSSAccessOnPublicComputersEnabled"
"Exchange Virtual Directories","Remove-MailboxDeliveryVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","Get-MailboxDeliveryVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"Exchange Virtual Directories","Get-LogExportVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"Exchange Virtual Directories","New-MapiVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;InternalUrl;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf"
"Exchange Virtual Directories","Set-OutlookServiceVirtualDirectory","BasicAuthentication;Confirm;Debug;DigestAuthentication;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;Identity;OAuthAuthentication;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf;WindowsAuthentication;WSSecurityAuthentication"
"Exchange Virtual Directories","Remove-OutlookServiceVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","New-ComplianceServiceVirtualDirectory","ApplicationRoot;AppPoolId;BasicAuthentication;Confirm;Debug;DigestAuthentication;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;OAuthAuthentication;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf;WindowsAuthentication"
"Exchange Virtual Directories","Set-MailboxDeliveryVirtualDirectory","BasicAuthentication;Confirm;Debug;DigestAuthentication;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;Identity;OAuthAuthentication;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf;WindowsAuthentication"
"Exchange Virtual Directories","Get-ComplianceServiceVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"Exchange Virtual Directories","Remove-RestVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","New-RestVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;InternalUrl;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","New-OutlookServiceVirtualDirectory","ApplicationRoot;AppPoolId;BasicAuthentication;Confirm;Debug;DigestAuthentication;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;OAuthAuthentication;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf;WindowsAuthentication;WSSecurityAuthentication"
"Exchange Virtual Directories","Set-LogExportVirtualDirectory","BasicAuthentication;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExternalUrl;Force;Identity;LiveIdBasicAuthentication;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf;WindowsAuthentication"
"Exchange Virtual Directories","Get-RestVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"Exchange Virtual Directories","Set-ComplianceServiceVirtualDirectory","BasicAuthentication;Confirm;Debug;DigestAuthentication;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;Identity;OAuthAuthentication;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf;WindowsAuthentication"
"Exchange Virtual Directories","Remove-PowerShellVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","Set-MapiVirtualDirectory","ApplyDefaults;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;Identity;InternalUrl;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","Set-OabVirtualDirectory","BasicAuthentication;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;Identity;InternalUrl;OAuthAuthentication;OutBuffer;OutVariable;PollInterval;RequireSSL;Verbose;WarningAction;WarningVariable;WhatIf;WindowsAuthentication"
"Exchange Virtual Directories","Remove-MapiVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"Exchange Virtual Directories","Set-OutlookAnywhere","ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalClientsRequireSsl;Identity;InternalClientsRequireSsl"
"Exchange Virtual Directories","Set-CASMailbox","ResetAutoBlockedDevices"
"Exchange Virtual Directories","New-WebServicesVirtualDirectory","ApplicationRoot;AppPoolId;AppPoolIdForManagement;BasicAuthentication;Confirm;Debug;DigestAuthentication;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;Force;GzipLevel;InternalNLBBypassUrl;InternalUrl;MRSProxyEnabled;MRSProxyMaxConnections;OAuthAuthentication;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf;WindowsAuthentication;WSSecurityAuthentication"
"Exchange Virtual Directories","New-PowerShellVirtualDirectory","BasicAuthentication;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExternalUrl;InternalUrl;Name;OutBuffer;OutVariable;RequireSSL;Role;Server;Verbose;WarningAction;WarningVariable;WhatIf;WindowsAuthentication"
"Exchange Virtual Directories","New-OwaVirtualDirectory","ApplicationRoot;AppPoolId;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalAuthenticationMethods;ExternalUrl;InternalUrl;Name;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf"
"Exchange Virtual Directories","New-OabVirtualDirectory","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;InternalUrl;OutBuffer;OutVariable;Path;PollInterval;Recovery;RequireSSL;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf"
"Exchange Virtual Directories","New-EcpVirtualDirectory","AppPoolId;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedProtectionFlags;ExtendedProtectionSPNList;ExtendedProtectionTokenChecking;ExternalUrl;InternalUrl;OutBuffer;OutVariable;Path;Role;Server;Verbose;WarningAction;WarningVariable;WebSiteName;WhatIf"
