Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
Team Mailboxes-Recipient Management,Team Mailboxes,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MyDistributionGroups-Organization Management-Delegating,MyDistributionGroups,Organization Management,All Group Members,RoleGroup,,,MyGAL,OrganizationConfig,MyDistributionGroups,None,Direct
Journaling-Records Management,Journaling,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
My Custom Apps-Organization Management-Delegating,My Custom Apps,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyVoiceMail-Organization Management-Delegating,MyVoiceMail,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Recipient Policies-Recipient Management,Recipient Policies,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MyContactInformation-Organization Management-Delegating,MyContactInformation,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
UM Mailboxes-UM Management,UM Mailboxes,UM Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MyProfileInformation-Organization Management-Delegating,MyProfileInformation,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Security Reader-Security Reader,Security Reader,Security Reader,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Recipient Management,Move Mailboxes,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Records Management,Transport Rules,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Reset Password-Recipient Management,Reset Password,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
